"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.31272727273E+009, -4.84108535883E+000, +0.00000000000E+000
+1.31600000000E+009, -4.82309373523E+000, +0.00000000000E+000
+1.31927272727E+009, -4.79607998919E+000, +0.00000000000E+000
+1.32254545455E+009, -4.76115187222E+000, +0.00000000000E+000
+1.32581818182E+009, -4.71844463624E+000, +0.00000000000E+000
+1.32909090909E+009, -4.66867039453E+000, +0.00000000000E+000
+1.33236363636E+009, -4.61209792226E+000, +0.00000000000E+000
+1.33563636364E+009, -4.55073485461E+000, +0.00000000000E+000
+1.33890909091E+009, -4.48497609766E+000, +0.00000000000E+000
+1.34218181818E+009, -4.41714741289E+000, +0.00000000000E+000
+1.34545454545E+009, -4.34939794986E+000, +0.00000000000E+000
+1.34872727273E+009, -4.28417924055E+000, +0.00000000000E+000
+1.35200000000E+009, -4.22219868210E+000, +0.00000000000E+000
+1.35527272727E+009, -4.16652766079E+000, +0.00000000000E+000
+1.35854545455E+009, -4.12152117577E+000, +0.00000000000E+000
+1.36181818182E+009, -4.08848676381E+000, +0.00000000000E+000
+1.36509090909E+009, -4.06760687206E+000, +0.00000000000E+000
+1.36836363636E+009, -4.05519939092E+000, +0.00000000000E+000
+1.37163636364E+009, -4.04634947011E+000, +0.00000000000E+000
+1.37490909091E+009, -4.03844597423E+000, +0.00000000000E+000
+1.37818181818E+009, -4.03710629602E+000, +0.00000000000E+000
+1.38145454545E+009, -4.04211332472E+000, +0.00000000000E+000
+1.38472727273E+009, -4.05048371480E+000, +0.00000000000E+000
+1.38800000000E+009, -4.06108499801E+000, +0.00000000000E+000
+1.39127272727E+009, -4.07164474623E+000, +0.00000000000E+000
+1.39454545455E+009, -4.08027017150E+000, +0.00000000000E+000
+1.39781818182E+009, -4.08390781388E+000, +0.00000000000E+000
+1.40109090909E+009, -4.07804548015E+000, +0.00000000000E+000
+1.40436363636E+009, -4.05823749034E+000, +0.00000000000E+000
+1.40763636364E+009, -4.02731952188E+000, +0.00000000000E+000
+1.41090909091E+009, -3.98868666976E+000, +0.00000000000E+000
+1.41418181818E+009, -3.94195855435E+000, +0.00000000000E+000
+1.41745454545E+009, -3.88946173954E+000, +0.00000000000E+000
+1.42072727273E+009, -3.83350323621E+000, +0.00000000000E+000
+1.42400000000E+009, -3.77624881380E+000, +0.00000000000E+000
+1.42727272727E+009, -3.72032531223E+000, +0.00000000000E+000
+1.43054545455E+009, -3.66738502839E+000, +0.00000000000E+000
+1.43381818182E+009, -3.61940014459E+000, +0.00000000000E+000
+1.43709090909E+009, -3.57842897595E+000, +0.00000000000E+000
